SellerId,Name,Title,Email,Active,Salaried
29603,Janaina Barreiro Gambaro Bueno,Sra.,janainabarreirogambaro0@adventure-works.com,TRUE,TRUE
29636,Andy Carothers,Mr.,andy1@adventure-works.com,TRUE,TRUE
29780,Frances Giglio,Mr.,frances1@adventure-works.com,TRUE,TRUE
29567,Jackie Blackwell,Ms.,jackie0@adventure-works.com,FALSE,FALSE
29813,Katherine Harding,Ms.,katherine0@adventure-works.com,FALSE,TRUE
613,Jim Stewart,Mr.,jim5@adventure-works.com,FALSE,FALSE
380,Eva Corets,Ms.,eva0@adventure-works.com,TRUE,FALSE
698,Andy Carothers,Mr.,andy1@adventure-works.com,TRUE,FALSE
30112,Patricia Vasquez,Ms.,patricia2@adventure-works.com,FALSE,FALSE
29662,Jill Christie,Ms.,jill1@adventure-works.com,FALSE,TRUE
395,June Brunner,Ms.,june0@adventure-works.com,FALSE,FALSE
648,Cheryl Herring,Ms.,cheryl0@adventure-works.com,FALSE,FALSE
239,Jane McCarty,Ms.,jane3@adventure-works.com,TRUE,TRUE
560,Paul Alcorn,Mr.,paul2@adventure-works.com,FALSE,TRUE
587,Rhoda Finley,Ms.,rhoda0@adventure-works.com,FALSE,FALSE
29948,Elsie Lewin,Ms.,elsie0@adventure-works.com,TRUE,TRUE
30063,Vanessa Tench,Ms.,vanessa0@adventure-works.com,TRUE,TRUE
471,John Ford,Mr.,john19@adventure-works.com,TRUE,FALSE
29574,Randall Boseman,Mr.,randall0@adventure-works.com,FALSE,FALSE
124,Yuhong Li,Ms.,yuhong1@adventure-works.com,TRUE,FALSE
30024,Neva Mitchell,Ms.,neva0@adventure-works.com,TRUE,TRUE
401,Tom Johnston,Mr.,tom1@adventure-works.com,TRUE,TRUE
182,Stanley Alan,Mr.,stanley0@adventure-works.com,FALSE,FALSE
29559,Robert Bernacchi,Mr.,robert4@adventure-works.com,FALSE,FALSE
274,Janet Gilliat,Ms.,janet2@adventure-works.com,TRUE,FALSE
29568,Donald Blanton,Mr.,donald0@adventure-works.com,FALSE,TRUE
96,Bonnie Lepro,Ms.,bonnie2@adventure-works.com,TRUE,FALSE
